# sticktest
# device      Nintendo Switch Pro Controller
# sdl mapping yes
# hidapi hint 1
# axes 6, buttons 16, hats 1
# raw int16 values, one row per CHANGE (not per poll)
ms,a0,a1,a2,a3,a4,a5
14,0,0,0,0,-32768,-32768
8609,0,-530,0,0,-32768,-32768
8669,0,-346,0,0,-32768,-32768
8923,0,-577,0,0,-32768,-32768
9014,0,-692,0,0,-32768,-32768
9134,0,-346,0,0,-32768,-32768
61124,0,-369,0,0,-32768,-32768
61139,0,-484,0,0,-32768,-32768
61169,0,-577,0,0,-32768,-32768
61319,0,-369,0,0,-32768,-32768
61365,0,-346,0,0,-32768,-32768
62099,0,-369,0,0,-32768,-32768
62219,0,-461,0,0,-32768,-32768
62234,0,-577,0,0,-32768,-32768
62354,0,-346,0,0,-32768,-32768
62609,0,-369,0,0,-32768,-32768
62654,0,-346,0,0,-32768,-32768
62789,0,-369,0,0,-32768,-32768
62925,0,-346,0,0,-32768,-32768
71640,0,-530,0,0,-32768,-32768
71685,0,-346,0,0,-32768,-32768
72300,0,-438,0,0,-32768,-32768
72329,0,-530,0,0,-32768,-32768
72449,0,-415,0,0,-32768,-32768
72794,0,-346,0,0,-32768,-32768
82574,0,-415,0,0,-32768,-32768
82649,0,-507,0,0,-32768,-32768
82680,0,-830,0,0,-32768,-32768
82740,0,-484,0,0,-32768,-32768
82784,0,-346,0,0,-32768,-32768
83460,0,-438,0,0,-32768,-32768
83549,0,-346,0,0,-32768,-32768
86265,0,-461,0,0,-32768,-32768
86324,0,-369,0,0,-32768,-32768
86369,0,-346,0,0,-32768,-32768
86924,0,-600,0,0,-32768,-32768
86970,0,-461,0,0,-32768,-32768
87015,0,-346,0,0,-32768,-32768
88440,0,-415,0,0,-32768,-32768
88815,0,-346,0,0,-32768,-32768
89714,0,-415,0,0,-32768,-32768
89774,0,-346,0,0,-32768,-32768
91020,0,-392,0,0,-32768,-32768
91049,0,-346,0,0,-32768,-32768
92970,0,-369,0,0,-32768,-32768
93060,0,-346,0,0,-32768,-32768
93735,0,-392,0,0,-32768,-32768
93750,0,-346,0,0,-32768,-32768
96570,0,-392,0,0,-32768,-32768
96629,0,-346,0,0,-32768,-32768
102794,0,-738,0,0,-32768,-32768
102809,0,-853,0,0,-32768,-32768
102887,0,-761,0,0,-32768,-32768
102975,0,-346,0,0,-32768,-32768
103409,0,-692,0,0,-32768,-32768
103530,0,-346,0,0,-32768,-32768
104774,0,-484,0,0,-32768,-32768
104880,0,-346,0,0,-32768,-32768
112755,0,-554,0,0,-32768,-32768
112815,0,-1037,0,0,-32768,-32768
