# sticktest
# device      Nintendo Switch Pro Controller
# sdl mapping yes
# hidapi hint 1
# axes 6, buttons 16, hats 1
# raw int16 values, one row per CHANGE (not per poll)
ms,a0,a1,a2,a3,a4,a5
11,0,0,0,0,-32768,-32768
10077,0,-577,0,0,-32768,-32768
10183,437,-899,0,0,-32768,-32768
10303,414,-876,0,0,-32768,-32768
10319,368,-577,0,0,-32768,-32768
10348,345,-346,0,0,-32768,-32768
11518,-1152,-4978,0,0,-32768,-32768
11533,-1958,-5139,0,0,-32768,-32768
11548,-2327,-8296,0,0,-32768,-32768
11578,-1613,-8227,0,0,32767,-32768
11608,-553,-7605,0,0,32767,-32768
11624,-553,-7305,0,0,32767,-32768
11668,645,-5024,0,0,-32768,-32768
11698,345,-346,0,0,-32768,-32768
11803,-460,-3849,0,0,-32768,-32768
11818,-3986,-11845,0,0,-32768,-32768
11833,-6567,-15347,0,0,-32768,-32768
11848,-9701,-18757,0,0,-32768,-32768
11863,-14079,-19034,0,0,-32768,-32768
11878,-18619,-24610,0,0,-32768,-32768
11893,-24311,-31684,0,0,-32768,-32768
11908,-29219,-32767,0,0,-32768,-32768
11923,-32768,-32617,0,0,-32768,-32768
11938,-32768,-32523,0,0,-32768,-32768
11953,-30067,-32768,0,0,-32768,-32768
11968,-26822,-32768,0,0,-32768,-32768
12058,-27140,-32631,0,0,-32768,-32768
12073,-27389,-32273,0,0,-32768,-32768
12088,-27843,-31778,0,0,-32768,-32768
12103,-28070,-31539,0,0,-32768,-32768
12178,-27707,-31539,0,0,-32768,-32768
12238,-25279,-32768,0,0,-32768,-32768
12253,-21557,-32768,0,0,-32768,-32768
12283,-4334,-32768,0,0,-32768,-32768
12298,8571,-32768,0,0,-32768,-32768
12313,23941,-32037,0,0,-32768,-32768
12328,32767,-25207,0,0,-32768,-32768
12343,32767,-18552,0,0,-32768,-32768
12358,32766,-15137,0,0,-32768,-32768
12373,32767,-13263,0,0,-32768,-32768
12388,32767,-8117,0,0,-32768,-32768
12402,32767,-2748,0,0,-32768,-32768
12419,32767,598,0,0,-32768,-32768
12432,32767,3824,0,0,-32768,-32768
12448,32767,6543,0,0,-32768,-32768
12463,32767,9608,0,0,-32768,-32768
12477,32767,12258,0,0,-32768,-32768
12493,32767,16198,0,0,-32768,-32768
12508,31909,22881,0,0,-32768,-32768
12523,27604,30670,0,0,-32768,-32768
12538,22824,32767,0,0,-32768,-32768
12553,17058,32767,0,0,-32768,-32768
12568,11292,32767,0,0,-32768,-32768
12583,6273,32767,0,0,-32768,-32768
12598,2731,32767,0,0,-32768,-32768
12613,-794,32767,0,0,-32768,-32768
12628,-5446,32767,0,0,-32768,-32768
12642,-9712,32767,0,0,-32768,-32768
12658,-16384,32767,0,0,-32768,-32768
12674,-22488,29832,0,0,-32768,-32768
12687,-28683,25203,0,0,-32768,-32768
12703,-32768,19914,0,0,-32768,-32768
12718,-32768,15689,0,0,-32768,-32768
12733,-32768,12367,0,0,-32768,-32768
12748,-32768,9239,0,0,-32768,-32768
12764,-32768,7207,0,0,-32768,-32768
12778,-32768,5304,0,0,-32768,-32768
12792,-32768,2595,0,0,-32768,-32768
12807,-32768,-48,0,0,-32768,-32768
12822,-32768,-1859,0,0,-32768,-32768
12854,-32768,-4400,0,0,-32768,-32768
12884,-32768,-5099,0,0,-32768,-32768
12927,-32768,-8164,0,0,-32768,-32768
12943,-32768,-9260,0,0,-32768,-32768
12958,-32768,-10007,0,0,-32768,-32768
12988,-32768,-11675,0,0,-32768,-32768
13018,-32768,-12850,0,0,-32768,-32768
13048,-32768,-12898,0,0,-32768,-32768
13078,-32768,-13215,0,0,-32768,-32768
13108,-32768,-13422,0,0,-32768,-32768
13138,-32768,-13914,0,0,-32768,-32768
13273,-32768,-14581,0,0,-32768,-32768
13288,-32768,-14851,0,0,-32768,-32768
13303,-32574,-15455,0,0,-32768,-32768
13363,-32703,-15169,0,0,-32768,-32768
13378,-32768,-14740,0,0,-32768,-32768
13393,-32768,-14295,0,0,-32768,-32768
13408,-32768,-13803,0,0,-32768,-32768
13423,-32768,-13390,0,0,-32768,-32768
13439,-32768,-13056,0,0,-32768,-32768
13453,-32768,-12659,0,0,-32768,-32768
13468,-32768,-12231,0,0,-32768,-32768
13483,-32768,-11961,0,0,-32768,-32768
13498,-32768,-11802,0,0,-32768,-32768
13527,-32768,-11754,0,0,-32768,-32768
13573,-32768,-11691,0,0,-32768,-32768
13588,-32768,-11103,0,0,-32768,-32768
13603,-32768,-10515,0,0,-32768,-32768
13618,-32768,-11929,0,0,-32768,-32768
13648,-32768,-10722,0,0,-32768,-32768
13663,-32768,-9975,0,0,-32768,-32768
13678,-32768,-9467,0,0,-32768,-32768
13694,-32768,-8784,0,0,-32768,-32768
13708,-32768,-7767,0,0,-32768,-32768
13723,-32768,-6592,0,0,-32768,-32768
13738,-32768,-6338,0,0,-32768,-32768
13768,-32768,-5464,0,0,-32768,-32768
13783,-32768,-4098,0,0,-32768,-32768
13813,-32768,-2192,0,0,-32768,-32768
13828,-29671,1724,0,0,-32768,-32768
13843,-11304,8900,0,0,-32768,-32768
13857,1651,25042,0,0,-32768,-32768
13873,5336,32767,0,0,-32768,-32768
13888,11562,32767,0,0,-32768,-32768
13903,19806,30138,0,0,-32768,-32768
13919,26524,22833,0,0,-32768,-32768
13933,32767,9545,0,0,-32768,-32768
13948,32767,8320,0,0,-32768,-32768
13964,32767,8207,0,0,-32768,-32768
13978,32767,7884,0,0,-32768,-32768
14007,32767,7852,0,0,-32768,-32768
14053,32767,8174,0,0,-32768,-32768
14083,32767,8658,0,0,-32768,-32768
14098,32767,10674,0,0,-32768,-32768
14113,32767,13931,0,0,-32768,-32768
14128,31750,15689,0,0,-32768,-32768
14158,30765,17044,0,0,-32768,-32768
14172,30146,17979,0,0,-32768,-32768
14188,29923,18205,0,0,-32768,-32768
14248,29796,18205,0,0,-32768,-32768
14277,24714,17527,0,0,-32768,-32768
14294,20139,17366,0,0,-32768,-32768
14308,16724,17221,0,0,-32768,-32768
14323,11435,17205,0,0,-32768,-32768
14338,2207,692,0,0,-32768,-32768
14353,238,-239,-5415,-2120,-32768,-32768
14368,238,-239,-11291,-7351,-32768,-32768
14383,238,-239,-15784,-16637,-32768,-32768
14398,238,-239,-16591,-32767,-32768,-32768
14413,238,-239,-16798,-32768,-32768,-32768
14428,-225,-1319,-16798,-32768,-32768,-32768
14443,-516,-1462,-16614,-32768,-32768,-32768
14458,-1435,-5067,-14287,-32768,-32768,-32768
14473,-2644,-5242,-10277,-32768,-32768,-32768
14488,-3837,-4972,-8710,-32768,-32768,-32768
14504,-5031,-3971,-7765,-32768,-32768,-32768
14519,-6160,-3447,-5300,-32768,-32768,-32768
14533,-7950,-3352,-2650,-32768,-32768,-32768
14548,-10610,-3511,-530,-32768,-32768,-32768
14563,-14497,-9435,2834,-32768,-32768,-32768
14578,-18657,-17504,6060,-32768,-32768,-32768
14593,-21350,-28971,6521,-32768,-32768,-32768
14623,-20657,-29464,-3226,-32768,-32768,-32768
14638,-20657,-29464,-8595,-32768,-32768,-32768
14653,-20205,-29781,-14310,-32768,-32768,-32768
14668,-20205,-29781,-19725,-32768,-32768,-32768
14683,-20205,-29781,-24656,-31576,-32768,-32768
14698,-20367,-29654,-29564,-28924,-32768,-32768
14712,-20480,-29591,-32698,-26875,-32768,-32768
14728,-20625,-29480,-32768,-23889,-32768,-32768
14742,-20625,-29480,-32768,-20649,-32768,-32768
14758,-20834,-29337,-32768,-18282,-32768,-32768
14773,-22495,-28098,-32768,-15360,-32768,-32768
14788,-25075,-25842,-32768,-11818,-32768,-32768
14803,-27156,-23682,-32768,-7847,-32768,-32768
14818,-29446,-20807,-32768,-4210,-32768,-32768
14833,-31671,-17250,-32768,-1033,-32768,-32768
14848,-32768,-13978,-32768,2326,-32768,-32768
14864,-32768,-11849,-32768,5852,-32768,-32768
14878,-32768,-9340,-32768,9377,-32768,-32768
14893,-32768,-6116,-32768,12765,-32768,-32768
14908,-32768,-2065,-32768,17143,-32768,-32768
14923,-32768,2869,-32751,21176,-32768,-32768
14942,-32768,6820,-32429,22189,-32768,-32768
14953,-32768,9287,-31397,25047,-32768,-32768
14967,-32768,11496,-30736,25070,-32768,-32768
14983,-31848,13867,-29962,28342,-32768,-32768
14998,-29752,16479,-28462,31361,-32768,-32768
15013,-27333,19172,-26720,32767,-32768,-32768
15027,-23656,22220,-25043,32767,-32768,-32768
15043,-19464,26219,-22689,32767,-32768,-32768
15058,-15190,30122,-19996,32767,-32768,-32768
15073,-10917,32767,-16545,32767,-32768,-32768
15088,-5434,32767,-12223,32767,-32768,-32768
15103,1080,32767,-7401,32767,-32768,-32768
15119,7068,32767,-2386,32767,-32768,-32768
15133,15168,32734,5069,32767,-32768,-32768
15163,23745,25607,14102,32767,-32768,-32768
15178,30432,17511,23941,32025,-32768,-32768
15192,32767,12383,30900,29041,-32768,-32768
15208,32767,9271,32767,26703,-32768,-32768
15224,32767,7900,32767,22994,-32768,-32768
15238,32767,6223,32767,19850,-32768,-32768
15253,32767,3885,32766,17076,-32768,-32768
15283,32767,-6894,32767,14222,-32768,-32768
15298,32767,-9340,32767,8642,-32768,-32768
15313,32767,-12183,32767,7029,-32768,-32768
15327,31972,-16646,32767,5352,-32768,-32768
15343,29018,-21395,32767,3901,-32768,-32768
15357,25937,-25048,32767,2998,-32768,-32768
15373,22458,-28209,32767,2030,-32768,-32768
15389,18646,-30846,32767,660,-32768,-32768
15403,14469,-32768,32767,-477,-32768,-32768
15418,10816,-32768,32767,-1589,-32768,-32768
15433,8068,-32768,32767,-2589,-32768,-32768
15448,5638,-32768,32767,-3447,-32768,-32768
15463,3605,-32768,32767,-4162,-32768,-32768
15478,1747,-32768,32767,-5274,-32768,-32768
15493,-177,-32768,32767,-6656,-32768,-32768
15509,-2241,-32768,32767,-8133,-32768,-32768
15523,-4547,-32768,32767,-9340,-32768,-32768
15538,-6337,-32768,32767,-10833,-32768,-32768
15553,-7837,-32768,32767,-12008,-32768,-32768
15568,-9256,-32768,32767,-12993,-32768,-32768
15583,-10756,-32768,32767,-14375,-32768,-32768
15597,-13174,-32768,32767,-14534,-32768,-32768
15613,-16206,-32085,32767,-14534,-32768,-32768
15628,-19173,-30433,32767,-14534,-32768,-32768
15643,-21979,-28495,32767,-14470,-32768,-32768
