# sticktest
# device      Pro Controller
# sdl mapping yes
# hidapi hint 0
# axes 4, buttons 18, hats 0
# raw int16 values, one row per CHANGE (not per poll)
ms,a0,a1,a2,a3
0,0,0,0,0
28,32767,-25521,18267,-3347
88,32767,-25521,18718,-3387
194,32767,-25521,19018,-3397
238,32767,-25521,18439,-3158
358,32767,-25521,18890,-3197
419,32767,-25521,18898,-3393
448,32767,-25521,18478,-3379
493,32767,-25521,18148,-3343
538,32767,-25521,18538,-3381
613,32767,-25521,18208,-3345
673,32767,-25521,18538,-3381
703,32767,-25521,18838,-3391
764,32767,-25521,18418,-3377
852,32767,-25521,18789,-3635
1153,32767,-25521,18248,-3591
1183,32767,-25521,17206,-3647
1213,32767,-25521,13953,-3047
1228,32767,-25521,13859,-2488
1243,32767,-25521,4897,-868
1258,32767,-25511,0,0
1273,32767,-22871,0,0
1288,32767,-22798,0,0
1319,32767,-13884,0,0
1333,30403,-9377,0,0
1348,15863,-4089,0,0
1364,2058,-113,0,0
1379,0,0,0,0
2024,0,0,1520,719
2038,0,0,10210,5769
2053,0,0,17811,10677
2068,0,0,22453,14178
2098,0,0,23385,15538
2114,0,0,477,2103
2128,0,0,0,0
2158,0,0,-176,256
2188,0,0,-558,502
2203,0,0,0,0
2533,4546,869,0,0
2548,14968,4778,0,0
2564,24427,10704,0,0
2578,32767,18057,0,0
2594,32767,23203,3285,-1324
2608,32767,22196,19403,-3287
2623,32767,20693,32767,-7439
2638,32767,17724,32767,-13198
2653,32767,13020,32767,-19052
2668,32767,6626,32767,-16990
2684,32767,2375,32767,-22224
2698,32767,-698,32767,-24297
2714,32767,-2571,32767,-29572
2728,32767,-4248,32767,-32767
2743,32767,-7186,32767,-32767
2759,32767,-14905,32767,-32767
2773,32767,-25464,32767,-32767
2788,32767,-32767,31899,-32767
2803,32545,-32767,21487,-32767
2818,16536,-32767,11531,-32767
2833,139,-32767,2766,-32767
2864,-22392,-32767,-4696,-32767
2908,-32767,-24689,-10493,-32767
2923,-32767,-15705,-14257,-32767
2938,-32767,-9483,-14680,-32767
2952,-32767,-5367,-18035,-32767
2968,-32767,-1648,-18289,-32767
2983,-32767,-1620,-24383,-32767
2998,-32767,5563,-30983,-32767
3013,-32767,16962,-32767,-32767
3028,-32767,32293,-32767,20459
3044,-32767,32293,-32767,31590
3058,-32767,32767,-32767,32767
3133,-26376,32767,-32767,32767
3148,-13667,32767,-32767,32767
3163,-1397,32767,-28759,32767
3178,7662,32767,-20977,32767
3194,17244,32767,-12542,32767
3208,27802,32767,-3353,32767
3223,32767,32767,5171,32767
3238,32767,32767,17809,32767
3254,32767,24383,32767,32767
3269,32767,12767,32767,32236
3283,32767,3549,32767,20863
3298,32767,-1425,32767,16483
3313,32767,-4668,32767,12205
3328,32767,-7634,32767,6850
3343,32767,-12149,32767,2962
3359,32767,-15524,32767,-1341
3373,32767,-18656,32767,-4723
3388,32767,-22706,32767,-8782
3403,32767,-29246,32767,-14595
3418,32767,-32767,32767,-19109
3433,32767,-32767,32767,-20722
3448,32767,-32767,32767,-21147
3479,32767,-32767,32767,-21033
3493,32767,-32767,32767,-20920
3508,32767,-32767,32767,-20212
3523,32767,-32767,32767,-19957
3538,32767,-32767,32767,-19363
3553,32767,-32767,32767,-17752
3568,32767,-32767,32767,-14736
3583,32767,-32767,32767,-10324
3599,32767,-32767,32767,-5227
3613,32767,-32767,32767,614
3628,32767,-29340,32767,6570
3644,32767,-9427,32767,15130
3658,32767,9175,32767,27129
3674,32767,21090,32767,32767
3688,32767,32767,29479,32767
3703,32767,32767,19929,32767
3718,32767,32767,11391,32767
3733,32767,32767,4052,32767
3749,27317,32767,-2962,32767
3763,21969,32767,-10352,32767
3778,14961,32767,-14286,32767
3793,7494,32767,-18628,32767
3808,-3353,32767,-21572,32767
3823,-14587,32767,-27174,32767
3838,-24824,32767,-30826,32767
3853,-32767,32767,-32767,32767
3943,-32767,32767,-32767,32604
3958,-32767,32767,-32767,26269
3974,-32767,32767,-32767,20353
3988,-32767,32767,-32767,15693
4003,-32767,31054,-32767,11756
4018,-32767,27477,-32767,6906
4033,-32767,19391,-32767,-2627
4048,-32767,12823,-32767,-7522
4063,-32767,6514,-32767,-10745
4078,-32767,-782,-32767,-11918
4094,-32767,-8810,-32767,-10656
4109,-32767,-17525,-23743,-6885
4123,-32767,-26479,-8433,-2572
4138,-32767,-32767,0,0
4168,-28595,-32767,0,0
4183,-21062,-32767,0,0
4198,-12149,-32767,2220,-1099
4212,-4276,-32767,10533,-6638
4229,2794,-32767,20230,-10732
4243,8670,-32767,31276,-11772
4258,14483,-32767,32767,-21190
4274,19193,-32767,32767,-27109
4288,22621,-32767,32767,-24383
4303,22621,-32767,32767,-24098
4349,27141,-32767,32767,-24098
4363,27141,-32767,32767,-24326
4378,30626,-32767,32767,-24326
4408,32767,-32767,32767,-24240
4438,32767,-32767,32767,-23842
4453,32767,-32767,32767,-22706
4468,32767,-32767,32767,-18628
4483,32767,-31712,32767,-13357
4498,32767,-28543,32767,-10184
4513,32767,-28083,32767,-8782
4529,32767,-21997,32767,-7046
4544,32767,-17865,32767,-4640
4558,32767,-15046,32767,-2403
4573,32767,-11924,32767,-503
4588,32767,-11924,32767,1676
4603,32767,-11054,32767,3689
4618,32767,-11110,32767,5982
4633,32767,-12711,32767,8194
4648,32767,-14682,32767,9848
4664,0,0,32767,10942
4678,0,0,32767,13357
4694,0,0,32767,22884
4708,0,0,4092,23870
4738,0,0,1121,458
4753,0,0,0,0
5203,7690,32767,0,0
5218,8054,32767,0,0
5263,6962,32767,0,0
5278,4108,32767,0,0
5308,1117,32767,0,0
5323,419,32767,0,0
5338,2095,32767,0,0
5368,4444,32767,0,0
5398,4164,32767,0,0
5413,2151,32767,0,0
5428,-5031,32767,0,0
5443,-10998,32767,0,0
5458,-15215,32767,0,0
5474,-18854,32767,0,0
5488,-19787,32767,0,0
5503,-14229,32767,0,0
5518,-12458,32767,0,0
5533,-12317,32767,0,0
5563,-13751,32767,0,0
5578,-17385,32767,0,0
5593,-23814,32767,0,0
5608,-30813,32767,0,0
5623,-32767,32767,0,0
5818,-16370,30235,0,0
5834,-1955,15153,0,0
5848,880,8862,0,0
5863,0,0,0,0
5893,1716,13372,0,0
5908,10241,32767,0,0
5923,16765,32767,0,0
5953,16934,32767,0,0
5998,18120,32767,0,0
6013,18233,32767,0,0
6028,19335,32767,0,0
6044,19420,32767,0,0
6058,27117,32767,0,0
6073,32767,32767,0,0
6103,32767,20382,0,0
6118,32767,4472,0,0
6133,32767,-11531,0,0
6148,32767,-28247,0,0
6163,32767,-32767,0,0
6178,30268,-32767,0,0
6192,20212,-32767,0,0
6208,14651,-32767,0,0
6223,10829,-32767,0,0
6238,6458,-32767,0,0
6253,2571,-32767,0,0
6268,475,-32767,0,0
6284,-1061,-32767,0,0
6298,-3437,-32767,0,0
6313,-5283,-32767,0,0
6328,-7942,-32767,0,0
6343,-13104,-32767,0,0
6358,-19844,-32767,0,0
6373,-25115,-32767,0,0
6388,-30572,-32767,0,0
6403,-32767,-32767,0,0
6433,-32767,-22791,0,0
6448,-32767,-14032,0,0
6463,-32767,-6682,0,0
6478,-32767,-2375,0,0
6492,-32767,586,0,0
6508,-32767,4388,0,0
6523,-32767,7634,0,0
6553,-32767,11643,0,0
6568,-32767,14989,0,0
6583,-32767,21685,0,0
6598,-32767,31393,0,0
6628,-32767,32767,0,0
6659,-16934,32767,0,0
6672,-5479,32767,0,0
6688,-27,32767,0,0
6718,5003,32767,0,0
6734,7998,32767,0,0
6748,11307,32767,0,0
6764,14820,32767,0,0
6778,18063,32767,0,0
6793,18374,32767,0,0
6808,26319,32767,0,0
6823,32767,32767,0,0
6868,32767,23985,0,0
6883,32767,14567,0,0
6898,32767,6122,0,0
6913,32767,-1481,0,0
6928,32767,-7158,0,0
6944,32767,-14454,0,0
6958,32767,-23558,0,0
6974,32767,-32748,0,0
6988,32767,-32767,0,0
7018,27845,-32767,0,0
7033,15863,-32767,0,0
7048,5870,-32767,0,0
7063,-2515,-32767,0,0
7093,-12317,-32767,0,0
7108,-21317,-32767,0,0
