# sticktest
# device      Nintendo Switch Pro Controller
# sdl mapping yes
# hidapi hint 1
# axes 6, buttons 16, hats 1
# raw int16 values, one row per CHANGE (not per poll)
ms,a0,a1,a2,a3,a4,a5
13,0,0,0,0,-32768,-32768
345,0,0,5138,-4701,-32768,-32768
359,0,0,7995,-11845,-32768,-32768
375,0,0,3456,-11430,-32768,-32768
390,0,0,-207,-1475,-32768,-32768
405,0,0,-3364,-807,-32768,-32768
421,0,0,-9102,-991,-32768,-32768
435,0,0,-13987,2902,-32768,-32768
450,0,0,-14333,8110,-32768,-32768
465,0,0,-16729,16106,-32768,-32768
480,0,0,-17259,26015,-32768,-32768
495,0,0,-17052,32767,-32768,-32768
510,0,0,-16568,32767,-32768,-32768
525,0,0,-15738,32767,-32768,-32768
555,0,0,-15323,32767,-32768,-32768
570,0,0,-14148,32767,-32768,-32768
585,0,0,-13273,32767,-32768,-32768
600,0,0,-11775,31106,-32768,-32768
615,0,0,-10830,25300,-32768,-32768
630,0,0,-9977,16737,-32768,-32768
644,0,0,-1313,1176,-32768,-32768
659,0,0,368,-369,-32768,-32768
1425,0,0,691,-185,-32768,-32768
1440,0,0,437,-346,-32768,-32768
1454,0,0,368,-369,-32768,-32768
1530,1013,-4816,368,-369,-32768,-32768
1545,4101,-16154,368,-369,-32768,-32768
1560,4539,-32768,368,-438,-32768,-32768
1575,2327,-32768,553,-1360,-32768,-32768
1589,2027,-32768,3202,-4240,-32768,-32768
1604,1613,-32768,23296,-19357,-32768,-32768
1620,-2834,-32768,32767,-32076,-32768,-32768
1634,-10023,-32768,32767,-31938,-32768,-32768
1649,-5484,-6544,32767,-24864,-32768,-32768
1665,1705,-4114,32767,-20094,-32768,-32768
1679,345,-239,1207,-1245,-32768,-32768
1694,345,-239,5177,-4932,-32768,-32768
1710,345,-239,254,-369,-32768,-32768
2054,1589,-2129,254,-369,-32768,-32768
2070,7972,-9213,254,-369,-32768,-32768
2085,10714,-30401,254,-369,-32768,-32768
2100,9516,-32768,254,-369,-32768,-32768
2114,8894,-32768,254,-369,-32768,-32768
